VCF0013  {0.0: '0. No Post-election interview data', 1.0: '1. Post-election interview data present'}
VCF0128b  {0.0: '0. Mainline Protestant', 1.0: '1. Evangelical Protestant', 2.0: '2. Black Protestant Church', 3.0: '3. Catholic [roman catholic]', 4.0: '4. Jewish', 5.0: '5. Non-traditional orthodox', 6.0: '6. Non-Christian/Non-Jewish', 7.0: '7. Atheist, agnostic, none', 9.0: '9. DK; NA; refused to answer; no Pre IW; no Post IW;'}
VCF0129  {996.0: '996. Refused', 998.0: '998. DK; none; no preference', 999.0: '999. NA; no Post IW'}
VCF0130  {0.0: '0. Religion Inap (1970-1988); atheists and agnostics are', 1.0: '1. Every week (Except 1970: almost every week)', 2.0: '2. Almost every week (no cases in 1970)', 3.0: '3. Once or twice a month', 4.0: '4. A few times a year', 5.0: "5. Never (1990 and later: 'No' in filter)", 7.0: '7. No religious preference (1970-1988)', 8.0: '8. DK how often/DK if attend', 9.0: '9. NA/RF how often/NA/RF if attend'}
church_attendance  {0.0: '0. Every week - more than once a week', 1.0: '1. Every week - once a week or NA if once a week/more', 2.0: '2. Almost every week', 3.0: '3. Once or twice a month', 4.0: '4. A few times a year', 5.0: "5. Never ('No' in filter)", 8.0: '8. DK how often/DK if attend', 9.0: "9. NA how often/NA if attend; short-form 'new'"}
VCF0131  {0.0: '0. Religion refused/NA; no Pre IW; no Post IW', 1.0: '1. Regularly', 2.0: '2. Often', 4.0: '4. Seldom', 5.0: '5. Never', 7.0: '7. No religious preference (1960-1968)', 9.0: '9. NA'}
VCF0132  {998.0: '998. DK', 999.0: "999. NA; RF; short-form 'new' Cross Section (1992)"}
VCF0133  {998.0: '998. DK', 999.0: '999. NA; no Pre IW'}
VCF0134  {1.0: "1. Farm/country (including 'in the country, not on a", 2.0: '2. Not farm/country', 8.0: '8. DK', 9.0: "9. NA; no Pre IW; short-form 'new' Cross Section (1992)"}
VCF0135  {1.0: '1. In a large city (in 1978-1992 this includes', 2.0: '2. Not in a large city (in 1978-1992 this includes all', 8.0: '8. DK', 9.0: "9. NA; no Pre IW; short-form 'new' Cross Section (1992)"}
VCF0136  {1.0: "1. Farm, rural, 'country'", 2.0: "2. Town, 'small town'", 3.0: '3. City, not a large city', 4.0: '4. Large city', 5.0: "5. Other; mixture of communities; 'suburb'", 9.0: '9. DK; NA; no Pre IW'}
VCF0137  {1.0: '1. On a farm', 2.0: '2. In the country, not on a farm', 3.0: '3. In a small city or town (under 50,000)', 4.0: '4. In a medium-sized city (50,000-100,000)', 5.0: '5. In a large city (100,000-500,000)', 6.0: '6. In a suburb of a large city', 7.0: '7. In a very large city (over 500,000)', 8.0: '8. In a suburb of a very large city', 9.0: "9. DK; NA; short-form 'new' Cross Section (1992)"}
number_children  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight or more', 9.0: '9. NA; no Pre IW; Panel (1992,1996,2002)'}
VCF0138a  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight', 9.0: '9. NA; Panel (1992,1996,2002)'}
VCF0138b  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight', 9.0: '9. NA; Panel (1992,1996,2002)'}
VCF0138c  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight', 9.0: '9. NA; Panel (1992,1996,2002)'}
VCF0138d  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight', 9.0: '9. NA; Panel (1992,1996,2002)'}
VCF0138e  {1.0: '1. 1 - 1/2 years or less', 2.0: '2. Over 1 - 1/2 years up to and including 2 -1/2 years', 3.0: '3. Over 2 - 1/2 years up to and including 3 - 1/2 years', 4.0: '4. Over 3 - 1/2 years up to and including 4 - 1/2 years', 5.0: '5. Over 4 - 1/2 years up to and including 5 - 1/2 years', 6.0: '6. Over 5 - 1/2 years up to and including 10 - 1/2 years', 7.0: '7. Over 10 - 1/2 years up to and including 14- 1/2 years', 8.0: '8. Over 14 - 1/2 years up to 18 years', 9.0: '9. NA; no children; no Pre IW'}
VCF0139  {0.0: '0. None', 1.0: '1. One', 2.0: '2. Two', 3.0: '3. Three', 4.0: '4. Four', 5.0: '5. Five', 6.0: '6. Six', 7.0: '7. Seven', 8.0: '8. Eight or more', 9.0: '9. NA'}
education6  {1.0: "1. 8 grades or less ('grade school')", 2.0: "2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)", 3.0: '3. 12 grades, diploma or equivalency', 4.0: '4. 12 grades, diploma or equivalency plus non-academic', 5.0: '5. Some college, no degree; junior/community college', 6.0: '6. BA level degrees; advanced degrees incl. LLB', 8.0: '8. DK', 9.0: "9. NA; RF; no Pre IW; short-form 'new' Cross Section"}
education7  {1.0: "1. 8 grades or less ('grade school')", 2.0: "2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)", 3.0: '3. 12 grades, diploma or equivalency', 4.0: '4. 12 grades, diploma or equivalency plus non-academic', 5.0: '5. Some college, no degree; junior/community college', 6.0: '6. BA level degrees', 7.0: '7. Advanced degrees incl. LLB', 8.0: '8. DK', 9.0: "9. NA; RF; no Pre IW; short-form 'new' Cross Section (1992)"}
VCF0141  {1.0: "1. 8 grades or less ('grade school')", 2.0: "2. 9-12 grades ('high school'), no diploma/equivalency", 3.0: '3. 12 grades, diploma or equivalency', 4.0: '4. 12 grades, diploma or equivalency plus non-academic', 5.0: '5. Some college, no degree; junior/community college', 6.0: '6. BA level degrees; advanced degrees incl. LLB', 8.0: '8. DK', 9.0: '9. NA; head of family not determined (1986)'}
place_birth  {998.0: '998. DK', 999.0: "999. NA; no Pre IW; short-form 'new' Cross Section (1992)"}
native_born_parents  {1.0: '1. Yes', 5.0: '5. No', 8.0: '8. DK', 9.0: "9. NA; RF; no Pre IW; short-form 'new' Cross Section"}
father_born  {199.0: '199. U.S.', 998.0: '998. DK', 999.0: '999. NA; no Pre IW'}
mother_born  {199.0: '199. U.S.', 998.0: '998. DK', 999.0: '999. NA; no Pre I'}
home_ownership  {1.0: '1. Yes, own', 2.0: '2. No, not owned', 8.0: '8. DK', 9.0: '9. NA; RF; no Pre IW; short form (1992)'}
married  {1.0: '1. Married', 2.0: '2. Never married', 3.0: '3. Divorced', 4.0: '4. Separated', 5.0: '5. Widowed', 7.0: '7. Partners; not married (VOLUNTEERED [exc.1986,2012])', 8.0: '8. R not married/partnered, refused to say whether never married, divorced, separated or widowed (1992 only); DK', 9.0: "9.  NA; no Pre IW; unmarried at time of IW (1952 only); short-form 'new' Cross-Section (1992)"}
class8  {0.0: '0. Lower class (VOLUNTEERED)', 1.0: '1. Average working', 2.0: '2. Working--NA average or upper', 3.0: '3. Upper working', 4.0: '4. Average middle', 5.0: '5. Middle class--NA average or upper', 6.0: '6. Upper middle', 7.0: '7. Upper class (VOLUNTEERED)', 9.0: '9. DK; NA; other (incl. refused to accept idea of'}
average_Class  {1.0: '1. Average working', 2.0: '2. Working--NA average or upper', 3.0: '3. Upper working', 4.0: '4. Average middle', 5.0: '5. Middle class--NA average or upper', 6.0: '6. Upper middle', 9.0: '9. DK; NA; other (incl. refused to accept idea of'}
self_class  {1.0: '1. Yes, think of self as member of class and that class is', 2.0: "2. No, don't think of self as member of class, but if had", 3.0: '3. Yes, think of self as member of class and that class is', 4.0: "4. No, don't think of self as member of class, but if", 5.0: '5. Refuses to accept idea of class (except 1964, 1966,', 6.0: "6. Other (in 1964, 1966 and 1968, also includes 'refuses", 9.0: '9. DK; NA; no Pre IW; short form (1992)'}
work_status  {10.0: '10. Working now', 15.0: '15. Working now and retired--20 or more hrs/wk', 16.0: '16. Working now and permanently disabled--20 or more', 17.0: '17. Working now and homemaker--20 or more hrs/wk', 18.0: '18. Working now and student--20 or more hrs/wk', 20.0: '20. Temporarily laid off', 40.0: '40. Unemployed', 50.0: '50. Retired, no current occupation', 51.0: '51. Retired and working now--less than 20 hrs/wk', 60.0: '60. Permanently disabled, no current occupation', 61.0: '61. Permanently disabled and working--less than 20 hrs/wk', 70.0: '70. Homemaker, no other occupation', 71.0: '71. Homemaker and working now--less than 20 hrs/wk', 75.0: '75. Homemaker and student, no other occupation', 80.0: '80. Student, no current occupation', 81.0: '81. Student and working now--less than 20 hrs/wk', 99.0: '99. NA'}
occupation5  {0.0: '0. NA; member of armed forces; no occupation and not a', 1.0: '1. Professional and managerial', 2.0: '2. Clerical and sales workers', 3.0: '3. Skilled, semi-skilled and service workers', 4.0: '4. Laborers, except farm', 5.0: '5. Farmers, farm managers, farm laborers and foremen;', 6.0: '6. Homemakers (1980-later: no other occupation (any'}
religion_fullCode  {10.0: '010. Protestant, no denomination given', 30.0: '030. Community church', 99.0: '099. Christian (NFS); just Christian', 100.0: '100. 7th Day Adventist', 101.0: '101. Sabbatarian', 109.0: '109. Adventist (NFS)', 110.0: '110. Episcopalian; Anglican', 120.0: '120. American Baptist Association', 121.0: '121. American Baptist Churches U.S.A. (inaccurately known as Northern Baptist)', 122.0: '122. Baptist Bible Fellowship', 123.0: '123. Baptist General Conference', 124.0: '124. Baptist Missionary Association of America', 125.0: '125. Conservative Baptist Association of America', 126.0: '126. General Association of Regular Baptist Churches (G.A.R.B.)', 127.0: '127. National Association of Free Will Baptists (United Free Will Baptist Church)', 128.0: '128. Primitive Baptists', 129.0: '129. National Baptist Convention in the U.S.A.*', 130.0: '130. National Baptist Convention of America*', 131.0: '131. National Primitive Baptist Convention of the U.S.A.*', 132.0: '132. Progressive National Baptist Convention*', 133.0: '133. National Baptist Convention NFS', 134.0: '134. Reformed Baptist (Calvinist)', 135.0: '135. Southern Baptist Convention', 136.0: '136. Full Gospel Baptist Church Fellowship', 149.0: '149. Baptist (NFS)', 150.0: '150. United Church of Christ (includes Congregational, Evangelical and Reformed)', 155.0: '155. Congregational Christian', 160.0: '160. Church of the Brethren', 161.0: '161. Brethren (NFS)', 162.0: '162. Mennonite Church', 163.0: '163. Moravian Church', 164.0: '164. Old Order Amish', 165.0: '165. Quakers (Friends)', 166.0: '166. Evangelical Covenant Church (not Anabaptist in tradition)', 167.0: '167. Evangelical Free Church (not Anabaptist in tradition)', 168.0: '168. Brethren in Christ', 169.0: '169. Apostolic Christian Church of America', 170.0: '170. Mennonite Brethren', 171.0: '171. Apostolic Christian Church Nazarene', 180.0: '180. Christian and Missionary Alliance (CMA)', 181.0: '181. Church of God (Anderson, IN)', 182.0: '182. Church of the Nazarene', 183.0: '183. Free Methodist Church', 184.0: '184. Salvation Army', 185.0: '185. Wesleyan Church', 186.0: '186. Church of God of Findlay, OH', 199.0: '199. Holiness (NFS); Church of God (NFS); R not or NA whether R Pentecostal or Charismatic', 200.0: '200. Plymouth Brethren', 201.0: '201. Independent Fundamentalist Churches of America', 219.0: '219. Independent-Fundamentalist (NFS)', 220.0: '220. Evangelical Lutheran Church in America (formerly Lutheran Church in America and The American Lutheran Church); ELCA', 221.0: '221. Lutheran Church--Missouri Synod; LC-MS', 222.0: '222. Wisconsin Evangelical Lutheran Synod; WELS', 224.0: '224. Lutheran Free Church; Association of Free Lutheran Churches; AFLC', 225.0: '225. Church of the Lutheran Brethren', 229.0: '229. Lutheran (NFS)', 230.0: '230. United Methodist Church; Evangelical United Brethren', 231.0: '231. African Methodist Episcopal Church', 232.0: '232. African Methodist Episcopal Zion Church', 233.0: '233. Christian Methodist Episcopal Church', 234.0: '234. Primitive Methodist', 240.0: '240. Fire-Baptized Holiness', 242.0: '242. Assemblies of the Lord Jesus Christ; AJLC', 243.0: '243. Church of Our Lord Jesus Christ of the Apostolic Faith; COOLJC', 244.0: '244. Church of the Lord Jesus Christ of the Apostolic Faith; CLJC', 245.0: '245. Bible Way Church of Our Lord Jesus Christ', 246.0: '246. International Bible Way Church of Our Lord Jesus Christ', 249.0: '249. Methodist (NFS)', 250.0: '250. Assemblies of God', 251.0: '251. Church of God (Cleveland, TN)', 252.0: '252. Church of God (Huntsville, AL)', 253.0: '253. International Church of the Four Square Gospel', 254.0: '254. Pentecostal Church of God', 255.0: '255. Pentecostal Holiness Church', 256.0: '256. United Pentecostal Church International', 257.0: '257. Church of God in Christ (incl. NA whether 258)', 258.0: '258. Church of God in Christ (International)', 260.0: '260. Church of God of the Apostolic Faith', 261.0: '261. Church of God in Prophecy', 262.0: '262. Vineyard Fellowship', 263.0: '263. Open Bible Standard Churches', 264.0: '264. Full Gospel', 267.0: '267. Apostolic Pentecostal', 270.0: '270. Presbyterian Church in the U.S.A.', 271.0: '271. Cumberland Presbyterian Church', 272.0: '272. Presbyterian Church in American (PCA)', 275.0: '275. Evangelical Presbyterian', 276.0: '276. Reformed Presbyterian (NFS)', 279.0: '279. Presbyterian (NFS)', 280.0: '280. Christian Reformed Church (inaccurately known as Dutch Reformed)', 281.0: '281. Reformed Church in America', 289.0: '289. Reformed (NFS)', 290.0: '290. Christian Church (Disciples of Christ)', 291.0: '291. Christian Churches and Churches of Christ', 292.0: '292. Churches of Christ; Church of Christ (NFS)', 293.0: '293. Christian Congregation', 300.0: '300. Christian Scientists', 301.0: '301. Mormons; Latter Day Saints', 303.0: '303. Unitarian; Universalist', 304.0: "304. Jehovah's Witnesses", 305.0: '305. Unity; Unity Church; Christ Church Unity', 306.0: '306. Fundamentalist Adventist (Worldwide Church of God)', 400.0: '400. Roman Catholic', 501.0: '501. Orthodox', 502.0: '502. Conservative', 503.0: '503. Reformed', 524.0: '524. Jewish, other, no preference, NFS', 600.0: '600. Catholic and  Protestant', 650.0: '650. Messianic Judaism; Jews for Jesus', 695.0: '695. More than 1 major religion (e.g., Christian, Jewish, Muslim etc.)', 700.0: '700. Greek Rite Catholic', 701.0: '701. Greek Orthodox', 702.0: '702. Russian Orthodox', 703.0: '703. Rumanian Orthodox', 704.0: '704. Serbian Orthodox', 705.0: '705. Syrian Orthodox', 706.0: '706. Armenian Orthodox', 707.0: '707. Georgian Orthodox', 708.0: '708. Ukranian Orthodox', 719.0: '719. Eastern Orthodox (NFS)', 720.0: '720. Muslim; Mohammedan; Islam', 721.0: '721. Buddhist', 722.0: '722. Hindu', 723.0: '723. Bahai', 724.0: '724. American Indian Religions (Native American Religions)', 725.0: '725. New Age', 726.0: '726. Wicca (Wiccan)', 727.0: '727. Pagan', 730.0: '730. Sikh', 732.0: '732. Konko Church', 735.0: '735. Spiritualists', 736.0: '736. Religious science; science of mind (not Scientology or Christian Science)', 740.0: '740. Other non-Christian/non-Jewish', 750.0: '750. Scientology [added 2000]', 790.0: '790. Religious/ethical cults', 870.0: '870. Other', 998.0: "998. None; agnostic; atheist; no preference; don't know preference; DK;", 999.0: "999. NA; short-form 'new' Cross Section (1992)"}
