,column_name
Thermometer - Liberals,therm_liberals
Thermometer - Conservatives,therm_conservatives
Thermometer - Military,therm_military
Thermometer - Policemen/Police,therm_police
Thermometer - Black Militants,therm_blackMilitants
Thermometer - Civil Rights Leaders,therm_civilRightsLea
Thermometer - Chicanos/Hispanics,therm_hispanics
Thermometer - Democratic Party,therm_DemParty
Thermometer - Middle Class People,therm_middleClass
Thermometer - People on Welfare,therm_welfarePeople
Thermometer - Political Independents,therm_Indep
Thermometer - Political Parties,therm_Parties
Thermometer - Poor People,therm_poor
Thermometer - Republican Party,therm_RepParty
Thermometer - Womens Libbers,therm_womensLibber
Thermometer - Young People,therm_young
Thermometer - Asian-Americans,therm_Asians
Thermometer - Congress,therm_Congress
Thermometer - Environmentalists,therm_enviornmlists
Thermometer - Anti-Abortionists,therm_antiAbor
Thermometer - Federal Government,therm_fedGvn
Thermometer - Gays and Lesbians,therm_gays
Thermometer - Illegal Aliens,therm_illegalAliens
Thermometer - Christian Fundamentalists,therm_ChrFundament
Thermometer - Radical Students,therm_radicalStu
Thermometer - Farmers,therm_farmers
Thermometer - Feminists,therm_feminists
Thermometer Average - Major Parties,therm_avg_majParties
Thermometer Index - Major Parties,therm_index_maParties
Party Identification of Respondent- 7-point Scale,Party_id7
Party Identification of Respondent- Initial Party ID Response,VCF0302
Party Identification of Respondent- Summary 3-Category,Party_id3
Party Identification of Respondent- Strength of Partisanship,partisan_strength
Party Identification of Respondent's Father,father_partyId
Party Identification of Respondent's Mother,mother_partyId
Political Interest of Respondent's Father,father_poliIntere
Political Interest of Respondent's Mother,mother_poliIntere
Interest in the Elections,Interest_elections
Does Respondent Care Which Party Wins Presidential Election,care_partyWinPre
Respondent Care(d) Which Party Wins Congressional Election,care_partyWinCong
Interest in Public Affairs,interest_pubAffair
Democratic Party: Respondent Likes - Number of Mentions,VCF0314
Democratic Party: Respondent Dislikes - Number of Mentions,VCF0315
Democratic Party: Affect (Likes-Dislikes),affect_Dem
Democratic Party: Salience (Likes-Dislikes),salience_Dem
Republican Party: Respondent Likes - Number of Mentions,VCF0318
Republican Party: Respondent Dislikes - Number of Mentions,VCF0319
Republican Party: Affect (Likes-Dislikes),affect_Rep
Republican Party: Salience (Likes-Dislikes),salience_Rep
Major Parties: Affect (Likes-Dislikes),affect_majorParties
Major Parties: Salience (Likes-Dislikes),salience_majorParties
Major Parties: Relative Salience (Likes-Dislikes),relative_salience_majorParties
President- Intelligent,VCF0338
President- Compassionate,VCF0339
President- Decent,VCF0340
President- Inspiring,VCF0341
President- Knowledgeable,VCF0342
President- Moral,VCF0343
President- Leadership,VCF0344
President- Cares,VCF0345
President- Angry,VCF0346
President- Afraid,VCF0347
President- Hopeful,VCF0348
President- Proud,VCF0349
Democratic Presidential Cand- Intelligent,VCF0350
Democratic Presidential Cand- Compassionate,VCF0351
Democratic Presidential Cand- Decent,VCF0352
Democratic Presidential Cand- Inspiring,VCF0353
Democratic Presidential Cand- Knowledgeable,VCF0354
Democratic Presidential Cand- Moral,VCF0355
Democratic Presidential Cand- Leadership,VCF0356
Democratic Presidential Cand- Cares,VCF0357
Democratic Presidential Cand- Angry,VCF0358
Democratic Presidential Cand- Afraid,VCF0359
Democratic Presidential Cand- Hopeful,VCF0360
Democratic Presidential Cand- Proud,VCF0361
Republican Presidential Cand- Intelligent,VCF0362
Republican Presidential Cand- Compassionate,VCF0363
Republican Presidential Cand- Decent,VCF0364
Republican Presidential Cand- Inspiring,VCF0365
Republican Presidential Cand- Knowledgeable,VCF0366
Republican Presidential Cand- Moral,VCF0367
Republican Presidential Cand- Leadership,VCF0368
Republican Presidential Cand- Cares,VCF0369
Republican Presidential Cand- Angry,VCF0370
Republican Presidential Cand- Afraid,VCF0371
Republican Presidential Cand- Hopeful,VCF0372
Republican Presidential Cand- Proud,VCF0373
Likes Anything about Democratic party,Likes_DemParty
1972-2004 Mention 1: Like About Democratic Party,VCF0375a
1972-2004 Mention 1: Like About Democratic Party COLLAPSED,VCF0375b
1952-1968 Mention 1: Like About Democratic Party,VCF0375c
1952-1968 Mention 1: Like About Democratic Party COLLAPSED,VCF0375d
1972-2004 Mention 2: Like About Democratic Party,VCF0376a
1972-2004 Mention 2: Like About Democratic Party COLLAPSED,VCF0376b
1952-1968 Mention 2: Like About Democratic Party,VCF0376c
1952-1968 Mention 2: Like About Democratic Party COLLAPSED,VCF0376d
1972-2004 Mention 3: Like About Democratic Party,VCF0377a
1972-2004 Mention 3: Like About Democratic Party COLLAPSED,VCF0377b
1952-1968 Mention 3: Like About Democratic Party,VCF0377c
1952-1968 Mention 3: Like About Democratic Party COLLAPSED,VCF0377d
1972-2004 Mention 4: Like About Democratic Party,VCF0378a
1972-2004 Mention 4: Like About Democratic Party COLLAPSED,VCF0378b
1952-1968 Mention 4: Like About Democratic Party,VCF0378c
1952-1968 Mention 4: Like About Democratic Party COLLAPSED,VCF0378d
1972-2004 Mention 5: Like About Democratic Party,VCF0379a
1972-2004 Mention 5: Like About Democratic Party COLLAPSED,VCF0379b
1952-1968 Mention 5: Like About Democratic Party,VCF0379c
1952-1968 Mention 5: Like About Democratic Party COLLAPSED,VCF0379d
Dislikes Anything about Democratic party,Dislikes_DemParty
1972-2004 Mention 1: Dislike About Democratic Party,VCF0381a
1972-2004 Mention 1: Dislike About Democratic Party COLLAPSED,VCF0381b
1952-1968 Mention 1: Dislike About Democratic Party,VCF0381c
1952-1968 Mention 1: Dislike About Democratic Party COLLAPSED,VCF0381d
1972-2004 Mention 2: Dislike About Democratic Party,VCF0382a
1972-2004 Mention 2: Dislike About Democratic Party COLLAPSED,VCF0382b
1952-1968 Mention 2: Dislike About Democratic Party,VCF0382c
1952-1968 Mention 2: Dislike About Democratic Party COLLAPSED,VCF0382d
1972-2004 Mention 3: Dislike About Democratic Party,VCF0383a
1972-2004 Mention 3: Dislike About Democratic Party COLLAPSED,VCF0383b
1952-1968 Mention 3: Dislike About Democratic Party,VCF0383c
1952-1968 Mention 3: Dislike About Democratic Party COLLAPSED,VCF0383d
1972-2004 Mention 4: Dislike About Democratic Party,VCF0384a
1972-2004 Mention 4: Dislike About Democratic Party COLLAPSED,VCF0384b
1952-1968 Mention 4: Dislike About Democratic Party,VCF0384c
1952-1968 Mention 4: Dislike About Democratic Party COLLAPSED,VCF0384d
1972-2004 Mention 5: Dislike About Democratic Party,VCF0385a
1972-2004 Mention 5: Dislike About Democratic Party COLLAPSED,VCF0385b
1952-1968 Mention 5: Dislike About Democratic Party,VCF0385c
1952-1968 Mention 5: Dislike About Democratic Party COLLAPSED,VCF0385d
Likes Anything about Republican party,Likes_RepParty
1972-2004 Mention 1: Like About Republican Party,VCF0387a
1972-2004 Mention 1: Like About Republican Party COLLAPSED,VCF0387b
1952-1968 Mention 1: Like About Republican Party,VCF0387c
1952-1968 Mention 1: Like About Republican Party COLLAPSED,VCF0387d
1972-2004 Mention 2: Like About Republican Party,VCF0388a
1972-2004 Mention 2: Like About Republican Party COLLAPSED,VCF0388b
1952-1968 Mention 2: Like About Republican Party,VCF0388c
1952-1968 Mention 2: Like About Republican Party COLLAPSED,VCF0388d
1972-2004 Mention 3: Like About Republican Party,VCF0389a
1972-2004 Mention 3: Like About Republican Party COLLAPSED,VCF0389b
1952-1968 Mention 3: Like About Republican Party,VCF0389c
1952-1968 Mention 3: Like About Republican Party COLLAPSED,VCF0389d
1972-2004 Mention 4: Like About Republican Party,VCF0390a
1972-2004 Mention 4: Like About Republican Party COLLAPSED,VCF0390b
1952-1968 Mention 4: Like About Republican Party,VCF0390c
1952-1968 Mention 4: Like About Republican Party COLLAPSED,VCF0390d
1972-2004 Mention 5: Like About Republican Party,VCF0391a
1972-2004 Mention 5: Like About Republican Party COLLAPSED,VCF0391b
1952-1968 Mention 5: Like About Republican Party,VCF0391c
1952-1968 Mention 5: Like About Republican Party COLLAPSED,VCF0391d
Dislikes Anything about Republican party,Dislikes_RepParty
1972-2004 Mention 1: Dislike About Republican Party,VCF0393a
1972-2004 Mention 1: Dislike About Republican Party COLLAPSED,VCF0393b
1952-1968 Mention 1: Dislike About Republican Party,VCF0393c
1952-1968 Mention 1: Dislike About Republican Party COLLAPSED,VCF0393d
1972-2004 Mention 2: Dislike About Republican Party,VCF0394a
1972-2004 Mention 2: Dislike About Republican Party COLLAPSED,VCF0394b
1952-1968 Mention 2: Dislike About Republican Party,VCF0394c
1952-1968 Mention 2: Dislike About Republican Party COLLAPSED,VCF0394d
1972-2004 Mention 3: Dislike About Republican Party,VCF0395a
1972-2004 Mention 3: Dislike About Republican Party COLLAPSED,VCF0395b
1952-1968 Mention 3: Dislike About Republican Party,VCF0395c
1952-1968 Mention 3: Dislike About Republican Party COLLAPSED,VCF0395d
1972-2004 Mention 4: Dislike About Republican Party,VCF0396a
1972-2004 Mention 4: Dislike About Republican Party COLLAPSED,VCF0396b
1952-1968 Mention 4: Dislike About Republican Party,VCF0396c
1952-1968 Mention 4: Dislike About Republican Party COLLAPSED,VCF0396d
1972-2004 Mention 5: Dislike About Republican Party,VCF0397a
1972-2004 Mention 5: Dislike About Republican Party COLLAPSED,VCF0397b
1952-1968 Mention 5: Dislike About Republican Party,VCF0397c
1952-1968 Mention 5: Dislike About Republican Party COLLAPSED,VCF0397d
Democratic Presidential Cand: Respondent Likes - Number of Mentions,Likes_DemCand
Democratic Presidential Cand: Respondent Dislikes - Number of Mentions,Dislikes_DemCand
Democratic Presidential Cand: Affect (Likes-Dislikes),Affect_DemCand
Democratic Presidential Cand: Salience (Likes-Dislikes),Salience_DemCand
Republican Presidential Cand: Respondent Likes - Number of Mentions,Likes_RepCand
Republican Presidential Cand: Respondent Dislikes - Number of Mentions,Dislikes_RepCand
Republican Presidential Cand: Affect (Likes-Dislikes),Affect_RepCand
Republican Presidential Cand: Salience (Likes-Dislikes),Salience_RepCand
Presidential Candidates: Affect (Likes-Dislikes),Affect_PreCand
Presidential Candidates: Salience (Likes-Dislikes),Salience_PreCand
Presidential Candidates: Relative Salience (Likes-Dislikes),Relative_Salie_PreCand
Thermometer Average - Presidential Candidates,therm_avg_preCand
Thermometer Index - Presidential Candidates,therm_index_preCand
Thermometer Average - Vice-Presidential Candidates,VCF0414
Thermometer Index - Vice-Presidential Candidates,VCF0415
Thermometer - Democratic Presidential Candidate,therm_DemPreCand
Thermometer - Democratic Vice-presidential Candidate,therm_DemVicePreCand
Thermometer - Republican Presidential Candidate,therm_RepPreCand
Thermometer - Republican Vice-presidential Candidate,therm_RepVicePreCand
Thermometer - U.S. President,therm_President
Thermometer - Vice-president,therm_VicePresident
Thermometer - Hubert Humphrey,VCF0432
Thermometer - Ted Kennedy,VCF0433
Thermometer - Eugene McCarthy,VCF0434
Thermometer - George McGovern,VCF0435
Thermometer - Walter Mondale,VCF0436
Thermometer - Edmund Muskie,VCF0437
Thermometer - George Bush Sr.,VCF0438
Thermometer - George Wallace,VCF0439
Thermometer - Spiro Agnew,VCF0440
Thermometer - Gerald Ford,VCF0441
Thermometer - Richard Nixon,VCF0442
Thermometer - Ronald Reagan,VCF0443
Thermometer - Nelson Rockefeller,VCF0444
Thermometer - Robert Dole,VCF0445
Thermometer - Jimmy Carter,VCF0446
Thermometer - Bill Clinton,VCF0447
Thermometer - Al Gore,VCF0448
Thermometer - Ross Perot,VCF0449
Approve of President Performance,approve_pres
Strength Approve/Disapprove President Performance,approve_pres_strength
Thermometer - Hillary Clinton,therm_HillaryClinton
Thermometer - Pat Buchanan,VCF0472
Thermometer - Dan Quayle,VCF0473
Likes Anything about Democratic Presidential Cand,VCF0475
1972-2004 Mention 1: Like About Democratic Presidential Cand,VCF0476a
1972-2004 Mention 1: Like About Democratic Presidential Cand COLLAPSED,VCF0476b
1952-1968 Mention 1: Like About Democratic Presidential Cand,VCF0476c
1952-1968 Mention 1: Like About Democratic Presidential Cand COLLAPSED,VCF0476d
1972-2004 Mention 2: Like About Democratic Presidential Cand,VCF0477a
1972-2004 Mention 2: Like About Democratic Presidential Cand COLLAPSED,VCF0477b
1952-1968 Mention 2: Like About Democratic Presidential Cand,VCF0477c
1952-1968 Mention 2: Like About Democratic Presidential Cand COLLAPSED,VCF0477d
1972-2004 Mention 3: Like About Democratic Presidential Cand,VCF0478a
1972-2004 Mention 3: Like About Democratic Presidential Cand COLLAPSED,VCF0478b
1952-1968 Mention 3: Like About Democratic Presidential Cand,VCF0478c
1952-1968 Mention 3: Like About Democratic Presidential Cand COLLAPSED,VCF0478d
1972-2004 Mention 4: Like About Democratic Presidential Cand,VCF0479a
1972-2004 Mention 4: Like About Democratic Presidential Cand COLLAPSED,VCF0479b
1952-1968 Mention 4: Like About Democratic Presidential Cand,VCF0479c
1952-1968 Mention 4: Like About Democratic Presidential Cand COLLAPSED,VCF0479d
1972-2004 Mention 5: Like About Democratic Presidential Cand,VCF0480a
1972-2004 Mention 5: Like About Democratic Presidential Cand COLLAPSED,VCF0480b
1952-1968 Mention 5: Like About Democratic Presidential Cand,VCF0480c
1952-1968 Mention 5: Like About Democratic Presidential Cand COLLAPSED,VCF0480d
Dislikes Anything about Democratic Presidential Cand,VCF0481
1972-2004 Mention 1: Dislike About Democratic Presidential Cand,VCF0482a
1972-2004 Mention 1: Dislike About Democratic Presidential Cand COLLAPSED,VCF0482b
1952-1968 Mention 1: Dislike About Democratic Presidential Cand,VCF0482c
1952-1968 Mention 1: Dislike About Democratic Presidential Cand COLLAPSED,VCF0482d
1972-2004 Mention 2: Dislike About Democratic Presidential Cand,VCF0483a
1972-2004 Mention 2: Dislike About Democratic Presidential Cand COLLAPSED,VCF0483b
1952-1968 Mention 2: Dislike About Democratic Presidential Cand,VCF0483c
1952-1968 Mention 2: Dislike About Democratic Presidential Cand COLLAPSED,VCF0483d
1972-2004 Mention 3: Dislike About Democratic Presidential Cand,VCF0484a
1972-2004 Mention 3: Dislike About Democratic Presidential Cand COLLAPSED,VCF0484b
1952-1968 Mention 3: Dislike About Democratic Presidential Cand,VCF0484c
1952-1968 Mention 3: Dislike About Democratic Presidential Cand COLLAPSED,VCF0484d
1972-2004 Mention 4: Dislike About Democratic Presidential Cand,VCF0485a
1972-2004 Mention 4: Dislike About Democratic Presidential Cand COLLAPSED,VCF0485b
1952-1968 Mention 4: Dislike About Democratic Presidential Cand,VCF0485c
1952-1968 Mention 4: Dislike About Democratic Presidential Cand COLLAPSED,VCF0485d
1972-2004 Mention 5: Dislike About Democratic Presidential Cand,VCF0486a
1972-2004 Mention 5: Dislike About Democratic Presidential Cand COLLAPSED,VCF0486b
1952-1968 Mention 5: Dislike About Democratic Presidential Cand,VCF0486c
1952-1968 Mention 5: Dislike About Democratic Presidential Cand COLLAPSED,VCF0486d
Likes anything about Republican Presidential Cand,VCF0487
1972-2004 Mention 1: Like About Republican Presidential Cand,VCF0488a
1972-2004 Mention 1: Like About Republican Presidential Cand COLLAPSED,VCF0488b
1952-1968 Mention 1: Like About Republican Presidential Cand,VCF0488c
1952-1968 Mention 1: Like About Republican Presidential Cand COLLAPSED,VCF0488d
1972-2004 Mention 2: Like About Republican Presidential Cand,VCF0489a
1972-2004 Mention 2: Like About Republican Presidential Cand COLLAPSED,VCF0489b
1952-1968 Mention 2: Like About Republican Presidential Cand,VCF0489c
1952-1968 Mention 2: Like About Republican Presidential Cand COLLAPSED,VCF0489d
1972-2004 Mention 3: Like About Republican Presidential Cand,VCF0490a
1972-2004 Mention 3: Like About Republican Presidential Cand COLLAPSED,VCF0490b
1952-1968 Mention 3: Like About Republican Presidential Cand,VCF0490c
1952-1968 Mention 3: Like About Republican Presidential Cand COLLAPSED,VCF0490d
1972-2004 Mention 4: Like About Republican Presidential Cand,VCF0491a
1972-2004 Mention 4: Like About Republican Presidential Cand COLLAPSED,VCF0491b
1952-1968 Mention 4: Like About Republican Presidential Cand,VCF0491c
1952-1968 Mention 4: Like About Republican Presidential Cand COLLAPSED,VCF0491d
1972-2004 Mention 5: Like About Republican Presidential Cand,VCF0492a
1972-2004 Mention 5: Like About Republican Presidential Cand COLLAPSED,VCF0492b
1952-1968 Mention 5: Like About Republican Presidential Cand,VCF0492c
1952-1968 Mention 5: Like About Republican Presidential Cand COLLAPSED,VCF0492d
Dislikes anything about Republican Presidential Cand,VCF0493
1972-2004 Mention 1: Dislike About Republican Presidential Cand,VCF0494a
1972-2004 Mention 1: Dislike About Republican Presidential Cand COLLAPSED,VCF0494b
1952-1968 Mention 1: Dislike About Republican Presidential Cand,VCF0494c
1952-1968 Mention 1: Dislike About Republican Presidential Cand COLLAPSED,VCF0494d
1972-2004 Mention 2: Dislike About Republican Presidential Cand,VCF0495a
1972-2004 Mention 2: Dislike About Republican Presidential Cand COLLAPSED,VCF0495b
1952-1968 Mention 2: Dislike About Republican Presidential Cand,VCF0495c
1952-1968 Mention 2: Dislike About Republican Presidential Cand COLLAPSED,VCF0495d
1972-2004 Mention 3: Dislike About Republican Presidential Cand,VCF0496a
1972-2004 Mention 3: Dislike About Republican Presidential Cand COLLAPSED,VCF0496b
1952-1968 Mention 3: Dislike About Republican Presidential Cand,VCF0496c
1952-1968 Mention 3: Dislike About Republican Presidential Cand COLLAPSED,VCF0496d
1972-2004 Mention 4: Dislike About Republican Presidential Cand,VCF0497a
1972-2004 Mention 4: Dislike About Republican Presidential Cand COLLAPSED,VCF0497b
1952-1968 Mention 4: Dislike About Republican Presidential Cand,VCF0497c
1952-1968 Mention 4: Dislike About Republican Presidential Cand COLLAPSED,VCF0497d
1972-2004 Mention 5: Dislike About Republican Presidential Cand,VCF0498a
1972-2004 Mention 5: Dislike About Republican Presidential Cand COLLAPSED,VCF0498b
1952-1968 Mention 5: Dislike About Republican Presidential Cand,VCF0498c
1952-1968 Mention 5: Dislike About Republican Presidential Cand COLLAPSED,VCF0498d
Difference Between Major Parties,differenceParties
Which Major Party is More Conservative 3-Category,VCF0502
Which Major Party is More Conservative 4-Category,VCF0502a
Democratic Party- Liberal-Conservative Scale,VCF0503
Republican Party- Liberal-Conservative Scale,VCF0504
Which Party Favors Government Help With Medical Care,VCF0507
Democratic Party- Government Health Insurance Scale,VCF0508
Republican Party- Government Health Insurance Scale,VCF0509
Which Party Favors Guaranteed Jobs and Standard of Living,VCF0512
Democratic Party- Guaranteed Jobs-Living Scale,VCF0513
Republican Party- Guaranteed Jobs-Living Scale,VCF0514
Democratic Party- Aid to Blacks Scale,VCF0517
Republican Party- Aid to Blacks Scale,VCF0518
Which Party Favors Stronger Government,VCF0521
Which Party Favors Stronger Government w/ No Opinion,VCF0521a
Which Party Will Best Avoid War/Bigger War,VCF0522
Which Party Favors Military Spending Cut,VCF0523
Democratic Party- Rights of Accused Scale,VCF0524
Republican Party- Rights of Accused Scale,VCF0525
Democratic Party- Urban Unrest Scale,VCF0528
Republican Party- Urban Unrest Scale,VCF0529
Democratic Party- School Busing Scale,VCF0533
Republican Party- School Busing Scale,VCF0534
Democratic Party- Women Equal Role Scale,VCF0537
Republican Party- Women Equal Role Scale,VCF0538
Democratic Party- Government Services-Spending Scale,VCF0541
Republican Party- Government Services-Spending Scale,VCF0542
Democratic Party- Cooperation with U.S.S.R. Scale,VCF0545
Republican Party- Cooperation with U.S.S.R. Scale,VCF0546
Democratic Party- Defense Spending Scale,VCF0549
Republican Party- Defense Spending Scale,VCF0550
Approve Participation in Protests,VCF0601
Approve Civil Disobedience,VCF0602
Approve Demonstrations,VCF0603
Trust the Federal Government To Do What is Right,VCF0604
Federal Government Run by Few Interests or for the Benefit of All,VCF0605
How Much Does the Federal Government Waste Tax Money,VCF0606
How Many Government Officials Are Smart,VCF0607
How Many Government Officials Are Crooked,VCF0608
Government Officials Care What People Like Respondent Think,VCF0609
Congressmen Lose Touch with Constituents,VCF0610
Parties Only Interested in Votes,VCF0611
Voting is the Only Way to Have a Say in Government,voting_aSay_gov
People like Respondent Have Any Say in What the Government Does,VCF0613
Politics and Government Seem Too Complicated,politics_complex
Matter Whether Respondent Votes or Not,vote_matter
Should Those Who Don't Care About Election Outcome Vote,VCF0616
Should Someone Vote If Their Party Can't Win,VCF0617
A Good Many Local Elections Unimportant,VCF0618
Most People Can Be Trusted OR: Can't Be Too Careful With People,trustPeople
People Are Helpful OR: People Look Out for Themselves,Peoplehelpful
People Will Take Advantage of Others OR: People Will Try to be Fair,PeopleTakeAdvtge
How Much Government Pays Attention to What People Think,Gov_attention_People
How Much Parties Make Government Pay Attention to People,VCF0623
How Much Elections Make Government Pay Attention to People,election_make_govAttention
How Much Attention Congressmen Pay to Constituents,congresmen_attention
Respondent Usually Able to Carry Out Plans as Expected,VCF0626
Better to Plan Life a Good Way Ahead,VCF0627
Sure Life Would Work out as Expected,VCF0628
Can Run Life as Wanted,VCF0629
Government Level Respondent Has Most Faith in,VCF0630
Government Level Respondent Has Least Faith in,VCF0631
Branch of Government Respondent Trusts Most,VCF0632
Branch of Government Respondent Trusts 2nd Most,VCF0633
Branch of Government Respondent Trusts Least,VCF0634
Government Handling of Most Important Problem mentioned by Respondent,VCF0640
External Efficacy Index,efficacy_index
Government Responsiveness Index,govmnt_responsivenes_index
Federal Government Performance Rating,federal_gov_performance
State Government Performance Rating,State_Gov_performance
Local Government Performance Rating,local_Gov_performance
Presidency Performance Rating,Presidency_performance
Congress Performance Rating,Congress_performance
Supreme Court Performance Rating,Supreme_Ct_performance
Trust in Government Index,trust_gov_index
How Much of the Time Does Respondent Trust the Media to Report Fairly,VCF0675
Who Will Be Elected President in November,VCF0700
Registered to Vote Pre-Election,Registered
Did Respondent Vote in the National Elections,Voted
Register and Turnout SUMMARY,Registered_voted
Vote for President- Major Candidates,Voted_party
Vote for President- Major Parties,Voted_D_R
Vote for President- Major Parties and Other,Voted_MjParties_other
Vote and Nonvote- President,Vote_Nonvote_Pres
Vote for Congressman,Voted_Congress
Vote for Senator,Voted_Senate
Vote Ticket-splitting- President/House,VCF0709
Vote Ticket-splitting- President/Senate,VCF0710
Does Respondent Always Vote for the Same Party,vote_always_sameParty
Timing of Respondent's Presidential Vote Decision,timing_PresVote
Respondent Pre-election Intent for Vote for President,Pre_election_inten_vote
Will the Presidential Election Be Close,Will_PresElectionClose
